Quality Score,Grade,Rank,Ticker,Sector,Price,Market Cap,P1 Return on Capital,P2 Profitability,P3 Balance Sheet,P4 Capital Efficiency,ROIC %,ROE %,Gross Margin %,Op Margin %,FCF Margin %,FCF/NI,Net Debt/EBITDA,D/E,P/E,P/B,EV/EBITDA,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %,Beta,Div Yield %
89.0,A,1,BAM,Finance,44.67,73177001658.68,35.0,25.0,18.0,11.0,36.2,43.9,96.3,59.9,47.0,0.91,0.7,0.45,28.7,8.87,26.0,969.0,25.0,-10.2,-19.7,1.26,3.27
73.0,B+,2,CRT,Miscellaneous,9.77,57300001.0,35.0,10.0,25.0,3.0,188.8,188.8,,79.1,,,Net Cash,0.0,13.2,26.25,11.9,-27.1,-34.4,14.4,22.4,0.26,7.24
72.0,B+,3,LIF,Technology Services,45.08,3615353349.69,29.0,15.0,20.0,8.0,24.8,33.3,77.8,3.8,17.7,0.58,Net Cash,0.57,25.7,6.53,101.5,31.8,,-16.5,-35.2,2.23,
62.0,B,4,SHOP,Commercial Services,129.52,168908496310.62,7.0,16.0,24.0,15.0,9.4,9.6,47.9,16.3,17.4,1.63,Net Cash,0.01,139.6,12.56,83.7,38.7,-38.1,15.0,-22.7,2.81,
61.0,B,5,BYD,Consumer Services,82.71,6243960351.68,35.0,14.0,10.0,2.0,34.9,88.0,42.1,21.4,9.5,0.21,2.0,1.04,3.6,2.42,7.3,4.1,266.0,-0.1,0.4,0.8,1.0
48.0,C,6,HPS,Miscellaneous,14.63,465378512.0,7.0,25.0,5.0,11.0,5.3,8.5,87.7,116.0,74.8,0.89,5.1,0.6,12.1,1.02,13.7,43.1,-40.8,-0.4,1.0,0.36,9.12
43.0,C,7,QSR,Consumer Services,72.01,32826530944.27,12.0,19.0,0.0,12.0,4.8,26.7,48.5,26.8,14.3,1.74,5.3,4.31,31.8,6.86,17.2,12.2,-28.8,1.7,1.9,0.36,3.61
42.0,C,8,TDG,Electronic Technology,1258.34,71062947992.44,5.0,23.0,4.0,10.0,9.5,,57.6,47.0,21.3,1.01,5.9,,40.5,,21.2,11.7,9.8,-1.6,-4.0,0.71,
35.0,D,9,ABX,Finance,10.1,987303859.94,2.0,20.0,3.0,10.0,1.9,3.2,79.0,29.5,-98.0,,4.4,0.94,129.3,2.27,17.5,91.8,,35.0,27.0,-0.03,9.61
33.0,D,10,CCL,Consumer Services,25.97,35939421874.46,15.0,10.0,1.0,7.0,7.5,25.6,29.6,16.8,9.8,0.94,3.6,2.28,13.0,2.77,8.5,6.4,43.9,-22.4,-1.5,1.74,2.29
32.0,D,11,L,Finance,108.78,22414432136.12,7.0,8.0,6.0,11.0,6.2,9.3,,14.3,16.9,1.87,3.1,0.53,13.6,1.2,,5.4,24.7,-3.6,5.7,0.43,0.23
23.0,D,12,MG,Industrial Services,14.44,455555316.08,4.0,4.0,12.0,3.0,4.2,7.8,26.9,7.1,,,1.8,0.76,27.6,,7.2,-0.8,-13.3,-1.4,15.3,0.83,
22.0,D,13,ELD,Miscellaneous,28.93,0,0.0,0.0,19.0,3.0,,,,,,,Net Cash,,,,,,,-3.4,0.3,0.13,5.52
22.0,D,14,POW,Miscellaneous,24.22,0,0.0,0.0,19.0,3.0,,,,,,,Net Cash,,,,,,,2.2,19.5,1.12,0.16
22.0,D,15,PHO,Miscellaneous,68.46,0,0.0,0.0,19.0,3.0,,,,,,,Net Cash,,,,,,,-6.9,-4.2,0.72,0.55
22.0,D,16,DOL,Miscellaneous,69.54,0,0.0,0.0,19.0,3.0,,,,,,,Net Cash,,,,,,,-3.0,7.2,0.68,2.68
22.0,D,17,EDV,Miscellaneous,65.37,0,0.0,0.0,19.0,3.0,,,,,,,Net Cash,,,,,,,0.3,-3.1,-0.23,4.81
18.0,D,18,PPL,Utilities,37.64,28279188959.65,4.0,10.0,1.0,3.0,3.8,8.1,28.3,23.6,-15.5,-1.19,5.1,1.3,23.7,1.9,13.1,6.9,32.6,4.9,13.0,0.08,3.01
17.0,D,19,BN,Finance,40.54,99316214916.43,2.0,12.0,0.0,3.0,0.5,2.8,26.4,25.1,,,10.9,5.42,82.4,,15.3,-5.0,153.9,-10.9,-14.6,1.48,0.88
