ticker,shares,added_date
MU,0,2026-03-10
AUPH,0,2026-03-10
DAVE,0,2026-03-10
NVDA,0,2026-03-10
WT,0,2026-03-10
INCY,0,2026-03-10
BCRX,0,2026-03-10
TMDX,0,2026-03-10
EXEL,0,2026-03-10
INTU,0,2026-03-10
PEGA,0,2026-03-10
DOCS,0,2026-03-10
POET,0,2026-03-10
SEZL,0,2026-03-10
AXON,0,2026-03-10
OPRA,0,2026-03-11
DOCN,0,2026-03-11
CRDO,0,2026-03-11
FTNT,0,2026-03-12
LDOS,0,2026-03-12
ADBE,0,2026-03-12
NTAP,0,2026-03-12
BMY,0,2026-03-12
CTSH,0,2026-03-12
HCA,0,2026-03-12
VRT,0,2026-03-13
AAPL,0,2026-03-13
META,0,2026-03-13
AVGO,0,2026-03-13
ASML,0,2026-03-13
AMZN,0,2026-03-13
WDC,0,2026-03-13
UI,0,2026-03-13
SNPS,0,2026-03-15
CDNS,0,2026-03-15
DY,0,2026-03-19
VICR,0,2026-03-19
